# id	left	top	right	bottom	texture_id
[SPRITES]
# IDLE

# HIGH
1	13	5	38	24	2
2	44	5	69	24	2
3	77	5	102	24	2
4	109	5	134	24	2
5	146	5	171	24	2
6	178	5	203	24	2
7	211	5	236	24	2
8	242	5	267	24	2

# MED
11	12	31	37	48	2
12	45	31	70	48	2
13	77	31	102	48	2
14	109	31	134	48	2
15	146	31	171	48	2
16	178	31	203	48	2
17	210	31	235	48	2
18	243	31	268	48	2

# LOW
21	12	56	37	71	2
22	44	56	69	71	2
23	78	56	103	71	2
24	109	56	134	71	2
25	146	56	171	71	2
26	177	56	202	71	2
27	211	56	236	71	2
28	243	56	268	71	2

# HIGH_ROT
31	12	80	35	97	2
32	45	80	68	97	2
33	77	80	100	97	2
34	111	80	134	97	2
35	146	80	169	97	2
36	179	80	202	97	2
37	211	80	234	97	2
38	244	80	267	97	2

# MED_ROT
41	11	107	34	124	2
42	46	107	69	124	2
43	78	107	101	124	2
44	111	107	134	124	2
45	146	107	169	124	2
46	179	107	202	124	2
47	211	107	234	124	2
48	246	107	269	124	2

# HIGH_DIA
71	13	187	38	212	2
72	47	187	72	212	2
73	80	187	105	212	2
74	110	187	135	212	2
75	146	187	171	212	2
76	176	187	201	212	2
77	209	187	234	212	2
78	243	187	268	212	2

# HIGHER_DIA
81	12	218	37	245	2
82	47	218	72	245	2
83	80	218	105	245	2
84	110	218	135	245	2
85	146	218	171	245	2
86	176	218	201	245	2
87	209	218	234	245	2
88	244	218	269	245	2

# HIGHEST_DIA
91	14	250	39	279	2
92	49	250	74	279	2
93	82	250	107	279	2
94	110	250	135	279	2
95	146	250	171	279	2
96	174	250	199	279	2
97	207	250	232	279	2
98	242	250	267	279	2

# LOOK_UP
101	13	283	38	316	2
102	48	283	73	316	2
103	79	283	104	316	2
104	109	283	134	316	2
105	146	283	171	316	2
106	176	283	201	316	2
107	207	283	232	316	2
108	242	283	267	316	2

# LOOK_UP_LOW
111	0	0	25	33	3
112	35	0	60	33	3
113	66	0	91	33	3
114	96	0	121	33	3
115	124	0	149	33	3
116	154	0	179	33	3
117	185	0	210	33	3
118	220	0	245	33	3






# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
